Train Loss:,
1,0.005239063
2,0.004145508
3,0.003581543
4,0.003199219
5,0.003030273
6,0.002884863
7,0.002830176
8,0.002644824
9,0.002596094
10,0.002553027
11,0.002499219
12,0.002418945
13,0.002429492
14,0.002398438
15,0.002391504
16,0.002335059
17,0.00237959
18,0.002299316
19,0.002269043
20,0.002314844
21,0.002272461
22,0.002255469
23,0.00219707
24,0.002228516
25,0.002229785
26,0.002158984
27,0.00219082
28,0.002189746
29,0.002157617
30,0.002190234
31,0.001912988
32,0.001885742
33,0.001867578
34,0.001854102
35,0.001846973
36,0.001829785
37,0.001828809
38,0.001812305
39,0.001814453
40,0.001801367
41,0.001800098
42,0.001796582
43,0.00178877
44,0.001787695
45,0.00178877
46,0.001776465
47,0.001778125
48,0.001770117
49,0.001764746
50,0.001763672
51,0.001760742
52,0.001761035
53,0.001752734
54,0.001758691
55,0.001752734
56,0.001750195
57,0.001761621
58,0.001750391
59,0.001743164
60,0.001747461
61,0.001716602
62,0.001712891
63,0.001711523
64,0.001710156
65,0.00171123
66,0.001709375
67,0.001708594
68,0.001708984
69,0.001707617
70,0.001706836
71,0.001707617
72,0.001705273
73,0.001707129
74,0.001703809
75,0.00170459
76,0.00170293
77,0.001703711
78,0.001702637
79,0.001701367
80,0.001701465
81,0.0017
82,0.001701855
83,0.00170127
84,0.00170127
85,0.001700293
86,0.001700684
87,0.001698926
88,0.001698828
89,0.001699512
90,0.001699023
91,0.00169668
92,0.00169668
93,0.001696582
94,0.001696191
95,0.001696094
96,0.001696289
97,0.001696094
98,0.001695898
99,0.001696289
100,0.001695605
