train_loss,
1,5.7019
2,4.2545
3,3.7394
4,3.5022
5,3.3652
6,3.2758
7,3.213
8,3.1662
9,3.1323
10,3.1044
11,3.0836
12,3.0622
13,3.0468
14,3.0367
15,3.0239
16,3.0143
17,3.0053
18,2.9986
19,2.9915
20,2.9852
21,2.98
22,2.9735
23,2.9683
24,2.9646
25,2.96
26,2.9557
27,2.9537
28,2.9498
29,2.9486
30,2.9448
31,2.4894
32,2.3872
33,2.3461
34,2.3206
35,2.303
36,2.2886
37,2.2814
38,2.2761
39,2.2734
40,2.2696
41,2.2681
42,2.2662
43,2.268
44,2.2667
45,2.2646
46,2.2649
47,2.263
48,2.2613
49,2.2598
50,2.2562
51,2.2551
52,2.2533
53,2.251
54,2.2483
55,2.2452
56,2.2426
57,2.2396
58,2.2377
59,2.2353
60,2.2293
61,2.0507
62,2.0028
63,1.9835
64,1.9704
65,1.9575
66,1.9487
67,1.9433
68,1.9342
69,1.9264
70,1.9219
71,1.916
72,1.9126
73,1.906
74,1.9029
75,1.8994
76,1.8931
77,1.8898
78,1.8868
79,1.884
80,1.8794
81,1.8754
82,1.8731
83,1.8702
84,1.8667
85,1.8633
86,1.86
87,1.8584
88,1.8565
89,1.8532
90,1.8501
91,1.8211
92,1.8133
93,1.8083
94,1.8084
95,1.8048
96,1.8045
97,1.8031
98,1.8006
99,1.7993
100,1.7982
Test acc:,
1,18.69
2,30.15
3,40.72
4,38.32
5,41.92
6,46.27
7,44.31
8,50.33
9,49.84
10,48.08
11,50
12,50.77
13,47
14,49.23
15,53.39
16,53.13
17,52.15
18,53.32
19,51.52
20,53.33
21,52.92
22,52.1
23,51.91
24,53.7
25,54.68
26,53.1
27,49.76
28,47.13
29,52.06
30,53.61
31,68.75
32,69.56
33,70.02
34,70.55
35,70.68
36,70.81
37,70.95
38,70.63
39,70.03
40,70.48
41,70.03
42,70.03
43,69.25
44,70.54
45,70.34
46,70.52
47,69.26
48,70.33
49,69.8
50,70.62
51,70.69
52,67.59
53,69.44
54,70.15
55,69.78
56,69.34
57,70.21
58,70.17
59,70.79
60,70.19
61,74.7
62,75.09
63,75.3
64,75.34
65,75.38
66,75.48
67,75.55
68,75.68
69,75.8
70,75.77
71,75.75
72,75.86
73,75.98
74,75.96
75,76
76,75.92
77,75.96
78,75.96
79,75.89
80,76.01
81,75.89
82,75.95
83,75.82
84,75.9
85,75.94
86,75.78
87,76
88,75.92
89,75.91
90,75.8
91,76.23
92,76.27
93,76.16
94,76.25
95,76.22
96,76.25
97,76.37
98,76.28
99,76.24
100,76.27
